y,m,d,Rainfall,Snowfall,Melt,Refreeze,Snowpack,Snowpack_ice,Eact,I,S_SOIL,S_UZ,S_LZ,QGW0,QGW1,QGW2,QGW,Qsim,Qobs
2001,5,14,0.000,0.000,0.000,0.000,1.153,1.153,0.220,0.000,23.727,0.159,0.003,0.000,0.017,0.000,0.018,0.019,0.02
2001,5,15,0.000,4.610,0.000,0.000,5.763,5.763,0.205,0.000,23.522,0.143,0.003,0.000,0.016,0.000,0.016,0.017,0.01
2001,5,16,0.000,0.000,0.000,0.000,5.763,5.763,0.192,0.000,23.330,0.129,0.003,0.000,0.014,0.000,0.014,0.015,0.01
2001,5,17,0.000,0.000,0.000,0.000,5.763,5.763,0.179,0.000,23.151,0.116,0.003,0.000,0.013,0.000,0.013,0.014,0.01
2001,5,18,0.000,0.000,0.000,0.000,5.763,5.763,0.167,0.000,22.984,0.104,0.004,0.000,0.011,0.000,0.012,0.012,0.01
2001,5,19,0.000,0.000,0.000,0.000,5.763,5.763,0.154,0.000,22.830,0.093,0.004,0.000,0.010,0.000,0.011,0.011,0.01
2001,5,20,8.000,0.000,5.763,0.000,0.000,0.000,0.143,13.763,35.427,1.006,0.004,0.000,0.109,0.000,0.110,0.060,0.01
2001,5,21,0.000,1.153,0.000,0.000,1.153,1.153,0.208,0.000,35.219,0.907,0.004,0.000,0.099,0.000,0.099,0.104,0.05
2001,5,22,0.000,0.000,1.153,0.000,0.000,0.000,0.191,1.153,36.039,0.944,0.004,0.000,0.103,0.000,0.103,0.101,0.07
2001,5,23,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.000,35.858,0.851,0.004,0.000,0.093,0.000,0.093,0.098,0.08
2001,5,24,2.000,0.000,0.000,0.000,0.000,0.000,0.167,2.000,37.442,0.992,0.004,0.000,0.108,0.000,0.108,0.101,0.07
2001,5,25,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,37.282,0.894,0.004,0.000,0.097,0.000,0.098,0.103,0.07
2001,5,26,2.000,0.000,0.000,0.000,0.000,0.000,0.145,2.000,38.878,1.040,0.004,0.000,0.113,0.000,0.114,0.106,0.07
2001,5,27,0.000,0.000,0.000,0.000,0.000,0.000,0.138,0.000,38.740,0.938,0.004,0.000,0.102,0.000,0.102,0.108,0.08
2001,5,28,2.000,0.000,0.000,0.000,0.000,0.000,0.125,2.000,40.343,1.091,0.004,0.000,0.119,0.000,0.119,0.111,0.07
2001,5,29,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.000,40.225,0.983,0.004,0.000,0.107,0.000,0.107,0.113,0.08
2001,5,30,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,40.120,0.886,0.004,0.000,0.096,0.000,0.097,0.102,0.07
2001,5,31,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.000,40.027,0.799,0.004,0.000,0.087,0.000,0.087,0.092,0.06
2001,6,1,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.000,39.944,0.720,0.004,0.000,0.078,0.000,0.079,0.083,0.06
2001,6,2,2.000,0.000,0.000,0.000,0.000,0.000,0.073,2.000,41.590,0.903,0.004,0.000,0.098,0.000,0.099,0.089,0.05
2001,6,3,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.000,41.523,0.814,0.004,0.000,0.089,0.000,0.089,0.094,0.04
2001,6,4,2.000,0.000,0.000,0.000,0.000,0.000,0.058,2.000,43.172,0.999,0.004,0.000,0.109,0.000,0.109,0.099,0.05
2001,6,5,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,43.122,0.900,0.004,0.000,0.098,0.000,0.098,0.104,0.07
2001,6,6,0.000,6.915,0.000,0.000,6.915,6.915,0.043,0.000,43.079,0.812,0.004,0.000,0.088,0.000,0.089,0.094,0.06
2001,6,7,0.000,0.000,4.103,0.000,2.841,2.812,0.036,4.074,46.493,1.295,0.004,0.000,0.141,0.000,0.141,0.115,0.05
2001,6,8,0.000,0.000,2.812,0.000,0.000,0.000,0.031,2.841,48.828,1.595,0.004,0.000,0.173,0.000,0.174,0.158,0.13
2001,6,9,5.000,0.000,0.000,0.000,0.000,0.000,0.024,5.000,52.920,2.236,0.004,0.000,0.243,0.000,0.243,0.209,0.12
2001,6,10,3.000,0.000,0.000,0.000,0.000,0.000,0.021,3.000,55.319,2.540,0.004,0.000,0.276,0.000,0.277,0.260,0.21
2001,6,11,2.000,0.000,0.000,0.000,0.000,0.000,0.015,2.000,56.896,2.658,0.004,0.000,0.289,0.000,0.289,0.283,0.19
